K	Fitness	Objective	Algorithm	Base	Cluster	AlgorithmParameters	Time(s)
8	0.787284	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 1, 2, 1, 0, 3, 4, 3, 5, 6, 4, 3, 4, 6, 0, 6, 6, 5, 4, 6, 7, 0, 3, 7, 7, 2, 1, 0, 7, 3, 7, 7]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.02900
8	0.413166	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 1, 2, 1, 2, 2, 1, 1, 3, 4, 4, 4, 4, 5, 6, 4, 4, 4, 4, 4, 4, 4, 0, 2, 7, 7, 6, 7, 7, 6, 3, 7]	AG Crossover(0.900000) Mutation(0.100000)	   0.02000
8	0.368384	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 1, 4, 5, 1, 1, 1, 1, 1, 1, 2, 6, 7, 6, 2, 2, 2, 6, 3, 2]	BCO TurnsMaxNotImproved(10)	   0.42400
8	0.120721	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 2, 3, 4, 4, 4, 5, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	CRO dimension(100) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.050000) StepsUntilDepredation(1)	   0.07500
8	0.205091	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 1, 2, 0, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 6, 6, 6, 6, 6, 6, 1, 7, 6]	CRO dimension(100) InsertRand(true) InsertRank(false) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.07300
8	Infinity	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0]	CRO dimension(100) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.00400
8	Infinity	CorrectRand	ParticleSwarmOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]	PSO P-OwnWay(0.950000) P-PreviousPosition(0.050000) P-BestPosition(0.000000)	   0.00100
9	0.761896	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 1, 2, 3, 4, 4, 1, 2, 4, 5, 2, 6, 2, 3, 7, 8, 5, 8, 4, 1, 3, 0, 6, 3, 6, 6, 6, 6, 6, 8, 1, 6]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.05800
9	0.447044	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 1, 2, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 2, 5, 5, 5, 5, 6, 5, 5, 5, 5, 7, 8, 1, 7, 4, 7, 0, 7, 3]	AG Crossover(0.900000) Mutation(0.100000)	   0.01600
9	0.447303	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 2, 2, 3, 3, 4, 3, 2, 2, 2, 2, 4, 2, 5, 5, 5, 6, 7, 5, 5, 8, 1, 7]	BCO TurnsMaxNotImproved(10)	   0.12900
